MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X47,0.244529625963274,PC(O-16:1/18:2)-b,PC(O-16:0/22:4),Phosphatidylcholine ethers,PC(O-16:1/18:2)-b
X50,0.242537103555243,PC(O-18:0/20:4),PC(O-18:0/18:2)-b,Phosphatidylcholine ethers,PC(O-18:0/20:4)
X4,0.240712659340153,C18:2 Car,C18:2 Car,Acylcarnitines,C18:2 Car
X56,0.239753762092455,PC(O-18:1/22:4),PC(O-18:1/20:4)-b,Phosphatidylcholine ethers,PC(O-18:1/22:4)
X54,0.234260220295977,PC(O-18:1/20:4)-a,PC(O-18:1/20:3),Phosphatidylcholine ethers,PC(O-18:1/20:4)-a
X44,0.234252934042357,PC(O-16:0/20:4),PC(O-16:0/20:3),Phosphatidylcholine ethers,PC(O-16:0/20:4)
X92,0.232603873245372,PE(18:1_18:0),PE(O-18:1/18:2),Phosphatidylethanolamines ethers,PE(18:1_18:0)
X81,0.22776059685457,PC(20:4_20:3),PC(20:4_20:0),Phosphatidylcholines,PC(20:4_20:3)
X67,0.222769880239919,PC(16:0_20:5),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_20:5)
X113,0.217133123169419,Epoxy TG(16:0_18:1_18:2(O)),Epoxy TG(16:0_18:1_18:2(O)),Epoxy triglycerides,Epoxy TG(16:0_18:1_18:2(O))
X12,0.216280289769566,LPC(O-16:0),LPC(O-16:0),Lysophosphatidylcholine ethers,LPC(O-16:0)
X85,0.208558426412061,PE(O-16:1/18:2),PE(16:0_18:1),Phosphatidylethanolamines,PE(O-16:1/18:2)
X58,0.207525283254191,PC(O-20:2/20:4),PC(O-20:0/20:4),Phosphatidylcholine ethers,PC(O-20:2/20:4)
X22,0.204024991514043,LPC17:0-c,LPC17:0-c,Lysophosphatidylcholines,LPC17:0-c
X33,0.203502411379269,LPC20:5,LPC20:5,Lysophosphatidylcholines,LPC20:5
X14,0.202949692288241,LPC(O-18:0),LPC(O-18:0),Lysophosphatidylcholine ethers,LPC(O-18:0)
X120,0.202096239107034,TG49:1,TG49:1,Triglycerides,TG49:1
X100,0.19877793270829,SM(d18:1/24:0),SM(d18:1/23:0),Sphingomyelins,SM(d18:1/24:0)__1
X87,0.191316881105447,PE(O-18:2/18:2),PE(16:0_22:6),Phosphatidylethanolamines,PE(O-18:2/18:2)
X131,0.191311740044967,TG52:4,TG52:4,Triglycerides,TG52:4
X77,0.186416520702606,PC(18:2_20:4),PC(18:2_18:3),Phosphatidylcholines,PC(18:2_20:4)
X147,0.177226931024867,TG56:5,TG56:5,Triglycerides,TG56:5__1
X99,0.174549254566275,SM(d18:1/23:0),SM(d18:1/22:0)-a,Sphingomyelins,SM(d18:1/23:0)
X40,0.17393676878163,PC(O-16:0/16:1)-a,PC(O-16:0/16:0),Phosphatidylcholine ethers,PC(O-16:0/16:1)-a
X60,0.172267223837427,PC(14:0_18:2),PC(O-24:1/22:6),Phosphatidylcholine ethers,PC(14:0_18:2)
X116,0.170334079917946,TG48:1,TG48:1,Triglycerides,TG48:1
X118,0.16546907213903,TG48:4,TG48:3,Triglycerides,TG48:4__1
X159,0.165460070271781,TG58:8,TG58:8,Triglycerides,TG58:8__2
X57,0.164723489389371,PC(O-20:0/20:4),PC(O-18:1/22:4),Phosphatidylcholine ethers,PC(O-20:0/20:4)
X46,0.163004541466819,PC(O-16:0/22:4),PC(O-16:0/20:5),Phosphatidylcholine ethers,PC(O-16:0/22:4)
X24,0.159187527452168,LPC18:0-b,LPC18:0-b,Lysophosphatidylcholines,LPC18:0-b
X153,0.155810007214102,TG56:8,TG56:8,Triglycerides,TG56:8
X69,0.155625316979681,PC(16:0_24:6),PC(16:0_20:5),Phosphatidylcholines,PC(16:0_24:6)
X23,0.154495586167901,LPC18:0-a,LPC18:0-a,Lysophosphatidylcholines,LPC18:0-a
X38,0.153769001241029,PC(16:0_20:4(OH)),PC(16:0_20:4(OH)),Oxidized Phosphatidylcholines,PC(16:0_20:4(OH))
X21,0.152879830694683,LPC17:0-b,LPC17:0-b,Lysophosphatidylcholines,LPC17:0-b
X9,0.152724417488577,CE18:3,CE18:3,Cholesteryl esters,CE18:3
X45,0.152253572853769,PC(O-16:0/20:5),PC(O-16:0/20:4),Phosphatidylcholine ethers,PC(O-16:0/20:5)
X7,0.145043324691584,CE14:0,CE14:0,Cholesteryl esters,CE14:0
X89,0.144467426253488,PE(16:0_20:4),PE(18:1_18:0),Phosphatidylethanolamines,PE(16:0_20:4)
X160,0.14341429456905,TG60:11,TG60:8,Triglycerides,TG60:11
X74,0.142729414920442,PC(18:1_20:5),PC(16:1_22:6)-a,Phosphatidylcholines,PC(18:1_20:5)
X15,0.142706594691605,LPC(O-18:1)-a,LPC(O-18:1),Lysophosphatidylcholine ethers,LPC(O-18:1)-a
X73,0.140331193192189,PC(16:1_22:6),PC(16:1_22:5),Phosphatidylcholines,PC(16:1_22:6)
X115,0.13543304531285,TG46:3,TG46:3,Triglycerides,TG46:3
X130,0.135039205372268,TG51:3,TG51:3,Triglycerides,TG51:3
X140,0.134863623801895,TG54:6,TG54:6,Triglycerides,TG54:6__3
X96,0.132731216810111,SM(d18:1/12:0),SM(d18:1/12:0),Sphingomyelins,SM(d18:1/12:0)
X156,0.132111355444459,TG58:7,TG58:7,Triglycerides,TG58:7__1
X126,0.131309102163986,TG50:5,TG50:5,Triglycerides,TG50:5__1
X129,0.129275343657077,TG51:1,TG51:1,Triglycerides,TG51:1
X17,0.126758052421744,LPC16:0-b,LPC16:0-b,Lysophosphatidylcholines,LPC16:0-b
X82,0.126590552640019,PC(20:4_22:5),PC(20:4_20:3),Phosphatidylcholines,PC(20:4_22:5)
X150,0.126305728065421,TG56:6,TG56:6,Triglycerides,TG56:6__2
X114,0.123945858961564,Epoxy TG(18:1_18:1_18:2(O)),Epoxy TG(18:1_18:1_18:2(O)),Epoxy triglycerides,Epoxy TG(18:1_18:1_18:2(O))
X106,0.123626277824427,SM(d18:2/25:0),SM(d18:2/23:0),Sphingomyelins,SM(d18:2/25:0)
X27,0.121317898866211,LPC18:1-c,LPC18:1-c,Lysophosphatidylcholines,LPC18:1-c
X149,0.120840193297213,TG56:6,TG56:6,Triglycerides,TG56:6__1
X48,0.120764961700242,PC(O-17:0/20:4),PC(O-16:1/18:2)-b,Phosphatidylcholine ethers,PC(O-17:0/20:4)
X20,0.120388769866575,LPC16:1,LPC16:1,Lysophosphatidylcholines,LPC16:1
X95,0.120195114145077,SM(d18:0/22:0),SM(d18:0/22:0),Sphingomyelins,SM(d18:0/22:0)
X141,0.117124748554597,TG54:6,TG54:6,Triglycerides,TG54:6__4
X108,0.116315976250053,SM(d19:1/24:0),SM(d18:2/25:0),Sphingomyelins,SM(d19:1/24:0)__1
X107,0.113123216508909,SM(d19:1/22:0),SM(d18:2/24:0),Sphingomyelins,SM(d19:1/22:0)
X109,0.111823785712934,SM(d19:1/24:0),SM(d19:1/22:0),Sphingomyelins,SM(d19:1/24:0)__2
X6,0.11163879317016,Cer(d18:2/24:0),Cer(d18:2/24:0),Ceramides,Cer(d18:2/24:0)
X10,0.11017502641609,CE20:4,CE20:4,Cholesteryl esters,CE20:4
X18,0.109925827624404,LPC16:0-c,LPC16:0-c,Lysophosphatidylcholines,LPC16:0-c
X68,0.109022647257205,PC(16:0_22:7),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_22:7)
X75,0.109009975476404,PC(18:2_18:2),PC(18:1_20:5),Phosphatidylcholines,PC(18:2_18:2)
X29,0.104593626270292,LPC18:2-b,LPC18:2-b,Lysophosphatidylcholines,LPC18:2-b
X55,0.104349806970806,PC(O-18:1/20:4)-b,PC(O-18:1/20:4)-a,Phosphatidylcholine ethers,PC(O-18:1/20:4)-b
X59,0.102847189340567,PC(O-24:1/22:6),PC(O-20:2/20:4),Phosphatidylcholine ethers,PC(O-24:1/22:6)
X26,0.102172239369783,LPC18:1-b,LPC18:1-b,Lysophosphatidylcholines,LPC18:1-b
X2,0.101046506277632,C18:0 Car,C18:0 Car,Acylcarnitines,C18:0 Car
X66,0.0977289901818992,PC(16:0_20:4n-3) -c,PC(16:0_18:3)-b,Phosphatidylcholines,PC(16:0_20:4n-3) -c
X90,0.097512664472654,PE(16:0_22:6),PE(O-16:0/20:4),Phosphatidylethanolamines ethers,PE(16:0_22:6)
X30,0.0970264663903646,LPC18:3,LPC18:3,Lysophosphatidylcholines,LPC18:3
X117,0.096612021921949,TG48:3,TG48:3,Triglycerides,TG48:3
X101,0.0920063424864517,SM(d18:1/24:0),SM(d18:1/24:0),Sphingomyelins,SM(d18:1/24:0)__2
X34,0.0877073185017077,LPC22:4,LPC22:4,Lysophosphatidylcholines,LPC22:4
X28,0.0841554215505464,LPC18:2-a,LPC18:2-a,Lysophosphatidylcholines,LPC18:2-a
X70,0.0819275177202622,PC(16:1_18:2),PC(16:0_22:7),Phosphatidylcholines,PC(16:1_18:2)
X125,0.0808699350896864,TG50:4,TG50:4,Triglycerides,TG50:4__2
