MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X69,0.118754034080041,PC(16:0_24:6),PC(16:0_20:5),Phosphatidylcholines,PC(16:0_24:6)
X5,0.118141402149072,Cer(d18:0/24:1)-b,Cer(d18:0/24:1)-b,Ceramides,Cer(d18:0/24:1)-b
X13,0.114725172591397,LPC(O-16:1),LPC(O-16:1),Lysophosphatidylcholine ethers,LPC(O-16:1)
X94,0.109541633626386,SM(d16:1/22:0),SM(d16:1/16:0),Sphingomyelins,SM(d16:1/22:0)
X49,0.109109694853708,PC(O-18:0/18:2)-b,PC(O-17:0/20:4),Phosphatidylcholine ethers,PC(O-18:0/18:2)-b
X97,0.107188586533925,SM(d18:1/21:0),SM(d18:1/20:0),Sphingomyelins,SM(d18:1/21:0)
X104,0.106848565900621,SM(d18:2/23:0),SM(d18:2/14:0),Sphingomyelins,SM(d18:2/23:0)
X129,0.10240132869609,TG51:1,TG51:1,Triglycerides,TG51:1
X35,0.101881521535034,LPC22:6-a,LPC22:6-a,Lysophosphatidylcholines,LPC22:6-a
X139,0.0990737463014873,TG54:6,TG54:6,Triglycerides,TG54:6__2
X92,0.0990503049244617,PE(18:1_18:0),PE(O-18:1/18:2),Phosphatidylethanolamines ethers,PE(18:1_18:0)
X15,0.0969974823649953,LPC(O-18:1)-a,LPC(O-18:1),Lysophosphatidylcholine ethers,LPC(O-18:1)-a
X116,0.0925228618664913,TG48:1,TG48:1,Triglycerides,TG48:1
X135,0.0896689416769751,TG53:4,TG53:4,Triglycerides,TG53:4
X136,0.0896480960845046,TG54:3,TG54:3,Triglycerides,TG54:3
X120,0.0883808528231218,TG49:1,TG49:1,Triglycerides,TG49:1
X107,0.082296987118155,SM(d19:1/22:0),SM(d18:2/24:0),Sphingomyelins,SM(d19:1/22:0)
X105,0.0765567110454714,SM(d18:2/24:0),SM(d18:2/22:0),Sphingomyelins,SM(d18:2/24:0)
X68,0.0759240324200445,PC(16:0_22:7),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_22:7)
X155,0.0756979076769697,TG58:10,TG58:10,Triglycerides,TG58:10
X118,0.0743680997097403,TG48:4,TG48:3,Triglycerides,TG48:4__1
X60,0.0730921268131155,PC(14:0_18:2),PC(O-24:1/22:6),Phosphatidylcholine ethers,PC(14:0_18:2)
X79,0.0728424408820059,PC(18:2_22:5),PC(18:2_20:5),Phosphatidylcholines,PC(18:2_22:5)
X87,0.0725155233644726,PE(O-18:2/18:2),PE(16:0_22:6),Phosphatidylethanolamines,PE(O-18:2/18:2)
X109,0.071053580947776,SM(d19:1/24:0),SM(d19:1/22:0),Sphingomyelins,SM(d19:1/24:0)__2
X140,0.0697487870815037,TG54:6,TG54:6,Triglycerides,TG54:6__3
X24,0.0679455461732786,LPC18:0-b,LPC18:0-b,Lysophosphatidylcholines,LPC18:0-b
X10,0.06791204988256,CE20:4,CE20:4,Cholesteryl esters,CE20:4
X112,0.066517690502132,DG(18:1_18:1),DG(18:1/18:1)-b,Diglycerides,DG(18:1_18:1)
X138,0.0663137611357358,TG54:6,TG54:6,Triglycerides,TG54:6__1
X123,0.0656217866107433,TG50:2,TG50:2,Triglycerides,TG50:2__2
X108,0.0638201383378254,SM(d19:1/24:0),SM(d18:2/25:0),Sphingomyelins,SM(d19:1/24:0)__1
X148,0.0627972580951088,TG56:5,TG56:5,Triglycerides,TG56:5__2
X23,0.062035431299306,LPC18:0-a,LPC18:0-a,Lysophosphatidylcholines,LPC18:0-a
X141,0.0614589094879842,TG54:6,TG54:6,Triglycerides,TG54:6__4
X113,0.060238356471872,Epoxy TG(16:0_18:1_18:2(O)),Epoxy TG(16:0_18:1_18:2(O)),Epoxy triglycerides,Epoxy TG(16:0_18:1_18:2(O))
X50,0.0595246494423302,PC(O-18:0/20:4),PC(O-18:0/18:2)-b,Phosphatidylcholine ethers,PC(O-18:0/20:4)
X30,0.0568365861418255,LPC18:3,LPC18:3,Lysophosphatidylcholines,LPC18:3
X100,0.0556963236454696,SM(d18:1/24:0),SM(d18:1/23:0),Sphingomyelins,SM(d18:1/24:0)__1
X9,0.0554035556885743,CE18:3,CE18:3,Cholesteryl esters,CE18:3
X17,0.0546911012189163,LPC16:0-b,LPC16:0-b,Lysophosphatidylcholines,LPC16:0-b
X21,0.0539385124840391,LPC17:0-b,LPC17:0-b,Lysophosphatidylcholines,LPC17:0-b
X125,0.0537526502040056,TG50:4,TG50:4,Triglycerides,TG50:4__2
X34,0.0533474894265301,LPC22:4,LPC22:4,Lysophosphatidylcholines,LPC22:4
X57,0.0521651988437767,PC(O-20:0/20:4),PC(O-18:1/22:4),Phosphatidylcholine ethers,PC(O-20:0/20:4)
X152,0.0520124769219429,TG56:6,TG56:6,Triglycerides,TG56:6__4
X31,0.0519980686189492,LPC20:1,LPC20:1,Lysophosphatidylcholines,LPC20:1
X101,0.0517415306863575,SM(d18:1/24:0),SM(d18:1/24:0),Sphingomyelins,SM(d18:1/24:0)__2
X158,0.0514761917415351,TG58:8,TG58:8,Triglycerides,TG58:8__1
X70,0.0511968285536225,PC(16:1_18:2),PC(16:0_22:7),Phosphatidylcholines,PC(16:1_18:2)
X151,0.0510931892339108,TG56:6,TG56:6,Triglycerides,TG56:6__3
X7,0.0502205317133627,CE14:0,CE14:0,Cholesteryl esters,CE14:0
X32,0.0500390671057755,LPC20:3,LPC20:3,Lysophosphatidylcholines,LPC20:3
X55,0.0498175180634106,PC(O-18:1/20:4)-b,PC(O-18:1/20:4)-a,Phosphatidylcholine ethers,PC(O-18:1/20:4)-b
X86,0.0498102931076709,PE(O-18:1/18:2),PE(16:0_20:4),Phosphatidylethanolamines,PE(O-18:1/18:2)
X103,0.0492092240122568,SM(d18:2/22:0),SM(d18:1/25:0),Sphingomyelins,SM(d18:2/22:0)
X45,0.049066504990669,PC(O-16:0/20:5),PC(O-16:0/20:4),Phosphatidylcholine ethers,PC(O-16:0/20:5)
X29,0.0489796306822579,LPC18:2-b,LPC18:2-b,Lysophosphatidylcholines,LPC18:2-b
X106,0.0488279717027697,SM(d18:2/25:0),SM(d18:2/23:0),Sphingomyelins,SM(d18:2/25:0)
X117,0.0481066872837862,TG48:3,TG48:3,Triglycerides,TG48:3
X20,0.0480434842631716,LPC16:1,LPC16:1,Lysophosphatidylcholines,LPC16:1
X18,0.0477729697715137,LPC16:0-c,LPC16:0-c,Lysophosphatidylcholines,LPC16:0-c
X12,0.0477566147106552,LPC(O-16:0),LPC(O-16:0),Lysophosphatidylcholine ethers,LPC(O-16:0)
X90,0.0472024223925261,PE(16:0_22:6),PE(O-16:0/20:4),Phosphatidylethanolamines ethers,PE(16:0_22:6)
X44,0.0469700407380968,PC(O-16:0/20:4),PC(O-16:0/20:3),Phosphatidylcholine ethers,PC(O-16:0/20:4)
X93,0.0467568782137931,SM(d16:1/16:0),PE(O-18:2/18:2),Phosphatidylethanolamines ethers,SM(d16:1/16:0)
X149,0.0466453840618974,TG56:6,TG56:6,Triglycerides,TG56:6__1
X2,0.0458464642724425,C18:0 Car,C18:0 Car,Acylcarnitines,C18:0 Car
X126,0.0450503404403404,TG50:5,TG50:5,Triglycerides,TG50:5__1
X14,0.0437562348616183,LPC(O-18:0),LPC(O-18:0),Lysophosphatidylcholine ethers,LPC(O-18:0)
X150,0.0431398651056546,TG56:6,TG56:6,Triglycerides,TG56:6__2
X28,0.0428871826001457,LPC18:2-a,LPC18:2-a,Lysophosphatidylcholines,LPC18:2-a
X36,0.0424167518275215,LPC22:6-b,LPC22:6-b,Lysophosphatidylcholines,LPC22:6-b
X76,0.0422007049366248,PC(18:2_18:3),PC(18:2_18:2),Phosphatidylcholines,PC(18:2_18:3)
X95,0.0402424016436745,SM(d18:0/22:0),SM(d18:0/22:0),Sphingomyelins,SM(d18:0/22:0)
X156,0.0389934691782379,TG58:7,TG58:7,Triglycerides,TG58:7__1
X27,0.0385086476785183,LPC18:1-c,LPC18:1-c,Lysophosphatidylcholines,LPC18:1-c
X88,0.0382528009003974,PE(16:0_18:1),PE(18:0_22:6),Phosphatidylethanolamines,PE(16:0_18:1)
X75,0.0379850486093995,PC(18:2_18:2),PC(18:1_20:5),Phosphatidylcholines,PC(18:2_18:2)
X47,0.0366840123928359,PC(O-16:1/18:2)-b,PC(O-16:0/22:4),Phosphatidylcholine ethers,PC(O-16:1/18:2)-b
X42,0.0363016939356767,PC(O-16:0/18:2),PC(O-16:0/18:0),Phosphatidylcholine ethers,PC(O-16:0/18:2)
X91,0.0340915895722121,PE(18:0_22:6),PE(O-16:1/18:2),Phosphatidylethanolamines ethers,PE(18:0_22:6)
X161,0.032110393920363,TG60:8,TG61:1,Triglycerides,TG60:8
X130,0.032021683307283,TG51:3,TG51:3,Triglycerides,TG51:3
X25,0.0319441310059709,LPC18:1-a,LPC18:1-a,Lysophosphatidylcholines,LPC18:1-a
X159,0.0316685221898844,TG58:8,TG58:8,Triglycerides,TG58:8__2
X52,0.0312195334649798,PC(O-18:1/18:2),PC(O-18:1/16:0),Phosphatidylcholine ethers,PC(O-18:1/18:2)
X26,0.0301738749687029,LPC18:1-b,LPC18:1-b,Lysophosphatidylcholines,LPC18:1-b
X122,0.0289905400382268,TG50:2,TG50:2,Triglycerides,TG50:2__1
X137,0.0278629976232917,TG54:5,TG54:5,Triglycerides,TG54:5
X43,0.0277595380576473,PC(O-16:0/20:3),PC(O-16:0/18:2),Phosphatidylcholine ethers,PC(O-16:0/20:3)
X145,0.0268408145577561,TG55:3,TG55:3,Triglycerides,TG55:3
X147,0.0252880438814507,TG56:5,TG56:5,Triglycerides,TG56:5__1
X111,0.0238257922894715,DG(16:0_18:1),DG(16:0/18:1),Diglycerides,DG(16:0_18:1)
X19,0.0237906235436839,LPC16:0-d,LPC16:0-d,Lysophosphatidylcholines,LPC16:0-d
X98,0.0231400141630885,SM(d18:1/22:0),SM(d18:1/21:0),Sphingomyelins,SM(d18:1/22:0)
X66,0.0215716126063952,PC(16:0_20:4n-3) -c,PC(16:0_18:3)-b,Phosphatidylcholines,PC(16:0_20:4n-3) -c
X96,0.0210504949960444,SM(d18:1/12:0),SM(d18:1/12:0),Sphingomyelins,SM(d18:1/12:0)
X157,0.0189834757834758,TG58:7,TG58:7,Triglycerides,TG58:7__2
X131,0.0185114550037156,TG52:4,TG52:4,Triglycerides,TG52:4
X89,0.0166282201344121,PE(16:0_20:4),PE(18:1_18:0),Phosphatidylethanolamines,PE(16:0_20:4)
X59,0.0127004701462871,PC(O-24:1/22:6),PC(O-20:2/20:4),Phosphatidylcholine ethers,PC(O-24:1/22:6)
